episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,scenario_name,policy_reward_min/metanash,policy_reward_min/best_response,policy_reward_max/metanash,policy_reward_max/best_response,policy_reward_mean/metanash,policy_reward_mean/best_response,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,perf/cpu_util_percent,perf/ram_util_percent,info/learner/best_response/loss,info/learner/best_response/num_agent_steps_trained,info/learner/best_response/learner_stats/allreduce_latency
0.0,0.0,0.0,2.65,388,4,128000,4096,127997,False,51340,110,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-15-32,1651738532,0.7311756610870361,64.30738353729248,2851445,sjtu-marl1,192.168.2.51,64.30738353729248,450560,110,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.128,0.128,0.23918700667414033,0.45638173841904905,0.028983036257030817,0.0854194704634005,0.0,0.13,31557437.884,5.731,714711.147,1.367,128000,127997,450560,4096,901120,118784,11,7.2,4.7,0.7567338943481445,4096.0,0.0
0.0,0.0,0.0,2.653,385,4,138240,4096,138237,False,55338,120,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-15-37,1651738537,0.4257383346557617,69.41269516944885,2851445,sjtu-marl1,192.168.2.51,69.41269516944885,491520,120,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.166,0.166,0.23862339110005823,0.4554530021995703,0.02894923890365047,0.08532316878691688,0.0,0.134,30541989.66,5.556,737225.863,1.3,138240,138237,491520,4096,983040,129024,12,7.6,4.8,0.7707833647727966,4096.0,0.0
0.0,0.0,0.0,2.525,401,4,148480,4096,148477,False,59347,130,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-15-43,1651738543,0.4909546375274658,75.16781330108643,2851445,sjtu-marl1,192.168.2.51,75.16781330108643,532480,130,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.148,0.148,0.2385649331962623,0.45587365325953894,0.028956312939475384,0.0853649655600927,0.0,0.134,30552852.897,6.271,653154.944,1.368,148480,148477,532480,4096,1064960,139264,13,8.7,4.8,0.7656188011169434,4096.0,0.0
0.0,0.0,0.0,2.521,410,4,158720,4096,158717,False,63328,140,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-15-49,1651738549,0.4275672435760498,80.83321833610535,2851445,sjtu-marl1,192.168.2.51,80.83321833610535,573440,140,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.143,0.143,0.23844273306890806,0.456074616523281,0.028981476172905217,0.08541781920764957,0.0,0.128,31968494.946,5.781,708483.273,1.306,158720,158717,573440,4096,1146880,149504,14,6.7,4.8,0.7937495112419128,4096.0,0.0
0.0,0.0,0.0,2.66,389,4,168960,4096,168957,False,67354,150,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-15-54,1651738554,0.47400760650634766,86.3655138015747,2851445,sjtu-marl1,192.168.2.51,86.3655138015747,614400,150,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.137,0.137,0.23890097668891253,0.4567283985437749,0.029055425225395642,0.08560463468647304,0.0,0.129,31685483.556,5.885,695963.913,1.322,168960,168957,614400,4096,1228800,159744,15,,,0.8249207139015198,4096.0,0.0
0.0,0.0,0.0,2.579,378,4,179200,4096,179197,False,71380,160,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-16-00,1651738560,0.4470651149749756,91.83294558525085,2851445,sjtu-marl1,192.168.2.51,91.83294558525085,655360,160,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.149,0.149,0.23951678041177193,0.45788452846828176,0.029110333942390768,0.08578048439626747,0.0,0.131,31355848.118,6.084,673221.384,1.325,179200,179197,655360,4096,1310720,169984,16,8.0,4.9,0.8209249377250671,4096.0,0.0
0.0,0.0,0.0,2.648,388,4,189440,4096,189438,False,75226,170,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-16-05,1651738565,0.4613478183746338,97.28847217559814,2851445,sjtu-marl1,192.168.2.51,97.28847217559814,696320,170,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.259,0.259,0.2393965909304826,0.458369729005916,0.029176738938750234,0.08589459337159956,0.0,0.13,31418926.818,5.856,699477.594,1.327,189440,189438,696320,4096,1392640,180224,17,7.9,4.9,0.7802860140800476,4096.0,0.0
0.0,0.0,0.0,2.582,383,4,199680,4096,199679,False,79252,180,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-16-11,1651738571,0.9137723445892334,103.08205533027649,2851445,sjtu-marl1,192.168.2.51,103.08205533027649,737280,180,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.082,0.082,0.2389336517602741,0.4576824153485962,0.02911230047712012,0.0857649919229099,0.0,0.129,31679640.76,6.159,665015.181,1.282,199680,199679,737280,4096,1474560,190464,18,7.7,5.0,0.8094437122344971,4096.0,0.0
0.0,0.0,0.0,2.52,406,4,209920,4096,209918,False,83196,190,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-16-17,1651738577,0.9014396667480469,108.55621123313904,2851445,sjtu-marl1,192.168.2.51,108.55621123313904,778240,190,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.212,0.212,0.23842083972375946,0.4571979668758809,0.029088210553518196,0.08567724772059367,0.0,0.13,31390223.249,6.179,662887.991,1.365,209920,209918,778240,4096,1556480,200704,19,6.45,5.0,0.8779646754264832,4096.0,0.0
0.0,0.0,0.0,2.682,381,4,220160,4096,220156,False,87109,200,default,bc3a8da5607641b2a2c44a68c9b912ba,2022-05-05_16-16-22,1651738582,0.9314980506896973,114.15049147605896,2851445,sjtu-marl1,192.168.2.51,114.15049147605896,819200,200,1.5560460090637207,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,-0.205,0.205,0.23805275804464776,0.45662581253930445,0.02908559427692439,0.0856553649131768,0.0,0.143,28704877.5,6.277,652549.604,1.333,220160,220156,819200,4096,1638400,210944,20,6.3,5.0,0.8184266090393066,4096.0,0.0
