episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,scenario_name,policy_reward_min/best_response,policy_reward_min/metanash,policy_reward_max/best_response,policy_reward_max/metanash,policy_reward_mean/best_response,policy_reward_mean/metanash,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_steps_trained_this_iter,info/num_agent_steps_trained,info/last_target_update_ts,info/num_target_updates,info/learner/best_response/loss,info/learner/best_response/num_agent_steps_trained,info/learner/best_response/learner_stats/allreduce_latency
0.0,0.0,0.0,2.357,431,4,128000,4096,127998,False,53130,110,default,17d30577442b47ac905bc5a3eb0f3a2f,2022-05-05_16-15-41,1651738541,0.7497668266296387,65.10162329673767,2851732,sjtu-marl1,192.168.2.51,65.10162329673767,450560,110,1.601977825164795,kuhn_psro_dqn,-1.0,-2.0,2.0,1.0,0.203,-0.203,0.2469103696332157,0.44200717006176243,0.028926878261403832,0.08560154140852061,0.0,0.134,30552852.897,5.904,693715.695,1.423,128000,127998,450560,4096,901120,118784,11,0.48959752917289734,4096.0,0.0
0.0,0.0,0.0,2.356,431,4,138240,4096,138236,False,57509,120,default,17d30577442b47ac905bc5a3eb0f3a2f,2022-05-05_16-15-46,1651738546,0.49794769287109375,70.69255375862122,2851732,sjtu-marl1,192.168.2.51,70.69255375862122,491520,120,1.601977825164795,kuhn_psro_dqn,-1.0,-2.0,2.0,1.0,0.209,-0.209,0.24859057556706957,0.44386958189366205,0.02905369098623211,0.08596659215072505,0.0,0.135,30444567.046,6.282,652027.037,1.369,138240,138236,491520,4096,983040,129024,12,0.48104846477508545,4096.0,0.0
0.0,0.0,0.0,2.315,442,4,148480,4096,148480,False,61912,130,default,17d30577442b47ac905bc5a3eb0f3a2f,2022-05-05_16-15-52,1651738552,0.48771142959594727,76.43588280677795,2851732,sjtu-marl1,192.168.2.51,76.43588280677795,532480,130,1.601977825164795,kuhn_psro_dqn,-1.0,-2.0,2.0,1.0,0.1,-0.1,0.24869322848742148,0.44307687557371,0.029016615226752612,0.08589986844896523,0.0,0.133,30843571.246,5.844,700913.037,1.284,148480,148480,532480,4096,1064960,139264,13,0.47836703062057495,4096.0,0.0
0.0,0.0,0.0,2.336,434,4,158720,4096,158718,False,66282,140,default,17d30577442b47ac905bc5a3eb0f3a2f,2022-05-05_16-15-58,1651738558,0.46759676933288574,81.92231917381287,2851732,sjtu-marl1,192.168.2.51,81.92231917381287,573440,140,1.601977825164795,kuhn_psro_dqn,-1.0,-2.0,2.0,1.0,0.157,-0.157,0.24870113926152979,0.4426316854079693,0.02900182720189882,0.08587168956276785,0.0,0.134,30661911.804,5.935,690201.284,1.366,158720,158718,573440,4096,1146880,149504,14,0.4734085500240326,4096.0,0.0
0.0,0.0,0.0,2.346,436,4,168960,4096,168957,False,70661,150,default,17d30577442b47ac905bc5a3eb0f3a2f,2022-05-05_16-16-03,1651738563,0.8203344345092773,87.6761360168457,2851732,sjtu-marl1,192.168.2.51,87.6761360168457,614400,150,1.601977825164795,kuhn_psro_dqn,-1.0,-2.0,2.0,1.0,0.208,-0.208,0.24881431033342005,0.4422542796773456,0.02898487797058182,0.08585205659205619,0.0,0.134,30547420.313,6.124,668826.127,1.423,168960,168957,614400,4096,1228800,159744,15,0.4608355164527893,4096.0,0.0
0.0,0.0,0.0,2.323,439,4,179200,4096,179198,False,75029,160,default,17d30577442b47ac905bc5a3eb0f3a2f,2022-05-05_16-16-09,1651738569,0.4751114845275879,93.23587274551392,2851732,sjtu-marl1,192.168.2.51,93.23587274551392,655360,160,1.601977825164795,kuhn_psro_dqn,-1.0,-2.0,2.0,1.0,0.137,-0.137,0.24891455335498391,0.441926824299877,0.02897384667940046,0.08583512666804799,0.0,0.133,30843571.246,6.09,672557.232,1.494,179200,179198,655360,4096,1310720,169984,16,0.4600452184677124,4096.0,0.0
0.0,0.0,0.0,2.343,434,4,189440,4096,189439,False,79402,170,default,17d30577442b47ac905bc5a3eb0f3a2f,2022-05-05_16-16-15,1651738575,0.46325063705444336,98.79567909240723,2851732,sjtu-marl1,192.168.2.51,98.79567909240723,696320,170,1.601977825164795,kuhn_psro_dqn,-1.0,-2.0,2.0,1.0,0.162,-0.162,0.24884179044011617,0.4412908305619351,0.028936373520402434,0.08573761209434122,0.0,0.135,30283569.864,6.111,670321.436,1.282,189440,189439,696320,4096,1392640,180224,17,0.45877504348754883,4096.0,0.0
0.0,0.0,0.0,2.305,445,4,199680,4096,199678,False,83806,180,default,17d30577442b47ac905bc5a3eb0f3a2f,2022-05-05_16-16-20,1651738580,0.44318532943725586,104.29265785217285,2851732,sjtu-marl1,192.168.2.51,104.29265785217285,737280,180,1.601977825164795,kuhn_psro_dqn,-1.0,-2.0,2.0,1.0,0.113,-0.113,0.24945155007264372,0.4415285115460509,0.02896000760904814,0.08581314967741813,0.0,0.137,29805463.539,5.908,693267.793,1.331,199680,199678,737280,4096,1474560,190464,18,0.46061229705810547,4096.0,0.0
0.0,0.0,0.0,2.377,433,4,209920,4096,209917,False,88178,190,default,17d30577442b47ac905bc5a3eb0f3a2f,2022-05-05_16-16-26,1651738586,0.5472640991210938,109.92455244064331,2851732,sjtu-marl1,192.168.2.51,109.92455244064331,778240,190,1.601977825164795,kuhn_psro_dqn,-1.0,-2.0,2.0,1.0,0.278,-0.278,0.24929932496710286,0.44096093642861384,0.028920623599433207,0.08570995030879609,0.0,0.141,28966226.916,6.127,668539.832,1.338,209920,209917,778240,4096,1556480,200704,19,0.46294325590133667,4096.0,0.0
0.0,0.0,0.0,2.339,439,4,220160,4096,220156,False,92549,200,default,17d30577442b47ac905bc5a3eb0f3a2f,2022-05-05_16-16-32,1651738592,0.5111308097839355,115.71366739273071,2851732,sjtu-marl1,192.168.2.51,115.71366739273071,819200,200,1.601977825164795,kuhn_psro_dqn,-1.0,-2.0,2.0,1.0,0.178,-0.178,0.24959312210847298,0.4420904944436204,0.02894178200051701,0.08577120181448435,0.0,0.143,28628343.916,6.043,677837.893,1.312,220160,220156,819200,4096,1638400,210944,20,0.46076056361198425,4096.0,0.0
0.0,0.0,0.0,2.35,434,4,230400,4096,230398,False,96932,210,default,17d30577442b47ac905bc5a3eb0f3a2f,2022-05-05_16-16-37,1651738597,0.4472949504852295,121.33148169517517,2851732,sjtu-marl1,192.168.2.51,121.33148169517517,860160,210,1.601977825164795,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,0.221,-0.221,0.2498877994744221,0.4424279117444016,0.02894838028738366,0.08578538943797451,0.0,0.135,30288908.999,6.083,673308.454,1.366,230400,230398,860160,4096,1720320,221184,21,0.436936616897583,4096.0,0.0
0.0,0.0,0.0,2.34,437,4,240640,4096,240640,False,101318,220,default,17d30577442b47ac905bc5a3eb0f3a2f,2022-05-05_16-16-43,1651738603,0.47174644470214844,127.13976001739502,2851732,sjtu-marl1,192.168.2.51,127.13976001739502,901120,220,1.601977825164795,kuhn_psro_dqn,-1.0,-2.0,2.0,1.0,0.225,-0.225,0.24991278908902348,0.4420780518774581,0.028931984721918966,0.0857569949629105,0.0,0.137,29924872.294,6.396,640370.851,1.273,240640,240640,901120,4096,1802240,231424,22,0.4563118815422058,4096.0,0.0
0.0,0.0,0.0,2.347,441,4,250880,4096,250877,False,105703,230,default,17d30577442b47ac905bc5a3eb0f3a2f,2022-05-05_16-16-49,1651738609,0.4532642364501953,132.33370804786682,2851732,sjtu-marl1,192.168.2.51,132.33370804786682,942080,230,1.601977825164795,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,0.208,-0.208,0.24996590864358892,0.441758775718557,0.02891463643589044,0.08572237692053855,0.0,0.137,29909243.008,6.084,673253.043,1.319,250880,250877,942080,4096,1884160,241664,23,0.45840755105018616,4096.0,0.0
0.0,0.0,0.0,2.339,435,4,261120,4096,261117,False,110091,240,default,17d30577442b47ac905bc5a3eb0f3a2f,2022-05-05_16-16-55,1651738615,0.4383575916290283,138.3269944190979,2851732,sjtu-marl1,192.168.2.51,138.3269944190979,983040,240,1.601977825164795,kuhn_psro_dqn,-1.0,-2.0,2.0,1.0,0.162,-0.162,0.25037936024132945,0.4420796801430424,0.028941681371304328,0.08579530145691035,0.0,0.139,29392419.476,6.024,679895.41,1.386,261120,261117,983040,4096,1966080,251904,24,0.4489676356315613,4096.0,0.0
0.0,0.0,0.0,2.356,435,4,271360,4096,271358,False,114494,250,default,17d30577442b47ac905bc5a3eb0f3a2f,2022-05-05_16-17-01,1651738621,0.4748525619506836,144.46335315704346,2851732,sjtu-marl1,192.168.2.51,144.46335315704346,1024000,250,1.601977825164795,kuhn_psro_dqn,-1.0,-2.0,2.0,1.0,0.203,-0.203,0.25110374720360246,0.4430324106456241,0.029012272195485637,0.08596644409082169,0.0,0.136,30061013.445,5.738,713811.366,1.352,271360,271358,1024000,4096,2048000,262144,25,0.4468553066253662,4096.0,0.0
0.0,0.0,0.0,2.344,437,4,281600,4096,281599,False,118890,260,default,17d30577442b47ac905bc5a3eb0f3a2f,2022-05-05_16-17-06,1651738626,0.4974997043609619,149.83726739883423,2851732,sjtu-marl1,192.168.2.51,149.83726739883423,1064960,260,1.601977825164795,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,0.195,-0.195,0.25138211884662387,0.44323550402318224,0.029035253630450317,0.08602554514799202,0.0,0.137,29898832.551,5.901,694152.957,1.318,281600,281599,1064960,4096,2129920,272384,26,0.43059852719306946,4096.0,0.0
0.0,0.0,0.0,2.316,441,4,291840,4096,291838,False,123283,270,default,17d30577442b47ac905bc5a3eb0f3a2f,2022-05-05_16-17-12,1651738632,0.4442892074584961,155.72273755073547,2851732,sjtu-marl1,192.168.2.51,155.72273755073547,1105920,270,1.601977825164795,kuhn_psro_dqn,-2.0,-2.0,2.0,2.0,0.099,-0.099,0.25145513600123987,0.4431172232483479,0.02903625070133378,0.08603633088828863,0.0,0.137,29846888.784,5.861,698902.787,1.236,291840,291838,1105920,4096,2211840,282624,27,0.4278295040130615,4096.0,0.0
0.0,0.0,0.0,2.338,437,4,302080,4096,302078,False,127695,280,default,17d30577442b47ac905bc5a3eb0f3a2f,2022-05-05_16-17-18,1651738638,0.47132182121276855,161.17498183250427,2851732,sjtu-marl1,192.168.2.51,161.17498183250427,1146880,280,1.601977825164795,kuhn_psro_dqn,-1.0,-2.0,2.0,1.0,0.173,-0.173,0.25143470466200546,0.44279283099792255,0.0290153044663143,0.08598471268957789,0.0,0.138,29635792.969,5.961,687079.338,1.323,302080,302078,1146880,4096,2293760,292864,28,0.43940895795822144,4096.0,0.0
